Year;Ceremony;Award;Winner;Name;Film
1927/1928;1;Actor;FALSE;Richard Barthelmess;The Noose
1927/1928;1;Actor;TRUE;Emil Jannings;The Last Command
1927/1928;1;Actress;FALSE;Louise Dresser;A Ship Comes In
1927/1928;1;Actress;TRUE;Janet Gaynor;7th Heaven
1927/1928;1;Actress;FALSE;Gloria Swanson;Sadie Thompson
1927/1928;1;Art Direction;FALSE;Rochus Gliese;Sunrise
1927/1928;1;Art Direction;TRUE;William Cameron Menzies;"The Dove; Tempest"
1927/1928;1;Art Direction;FALSE;Harry Oliver;7th Heaven
1927/1928;1;Cinematography;FALSE;George Barnes;"The Devil Dancer; The Magic Flame; Sadie Thompson"
1927/1928;1;Cinematography;TRUE;Charles Rosher;Sunrise
1927/1928;1;Cinematography;TRUE;Karl Struss;Sunrise
1927/1928;1;Directing (Comedy Picture);TRUE;Lewis Milestone;Two Arabian Knights
1927/1928;1;Directing (Comedy Picture);FALSE;Ted Wilde;Speedy
1927/1928;1;Directing (Dramatic Picture);TRUE;Frank Borzage;7th Heaven
1927/1928;1;Directing (Dramatic Picture);FALSE;Herbert Brenon;Sorrell and Son
1927/1928;1;Directing (Dramatic Picture);FALSE;King Vidor;The Crowd
1927/1928;1;Engineering Effects;FALSE;Ralph Hammeras;
1927/1928;1;Engineering Effects;TRUE;Roy Pomeroy;Wings
1927/1928;1;Engineering Effects;FALSE;Nugent Slaughter;
1927/1928;1;Outstanding Picture;FALSE;The Caddo Company;The Racket
1927/1928;1;Outstanding Picture;FALSE;Fox;7th Heaven
1927/1928;1;Outstanding Picture;TRUE;Paramount Famous Lasky;Wings
1927/1928;1;Unique and Artistic Picture;TRUE;Fox;Sunrise
1927/1928;1;Unique and Artistic Picture;FALSE;Metro-Goldwyn-Mayer;The Crowd
1927/1928;1;Unique and Artistic Picture;FALSE;Paramount Famous Lasky;Chang
1927/1928;1;Writing (Adaptation);FALSE;Alfred Cohn;The Jazz Singer
1927/1928;1;Writing (Adaptation);FALSE;Anthony Coldeway;Glorious Betsy
