Title;Year;Rated;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;imdbRating;BoxOffice;Production
Intolerance: Love's Struggle Throughout the Ages;1916;NOT RATED;197;Drama, History;D.W. Griffith;D.W. Griffith (scenario), Anita Loos (titles);Lillian Gish, Mae Marsh, Robert Harron, F.A. Turner;The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.;NULL;USA;8.0;NULL;Cohen Media Group
Over the Hill to the Poorhouse;1920;NULL;110;Drama, Crime;Harry F. Millarde;Will Carleton (poems), Paul Sloane (scenario);Mary Carr, James Sheridan, Noel Tearle, William Welsh;The mother of a large family is abandoned by her children and faces consignment to the poorhouse. But one of her offspring, the one no one had faith in, returns to rescue her.;NULL;USA;5.6;NULL;NULL
The Kid;1921;NOT RATED;68;Comedy, Drama, Family;Charles Chaplin;Charles Chaplin;Carl Miller, Edna Purviance, Jackie Coogan, Charles Chaplin;The Tramp cares for an abandoned child, but events put that relationship in jeopardy.;English;USA;8.3;NULL;First National Pictures Inc.
The Gold Rush;1925;NOT RATED;95;Adventure, Comedy, Drama;Charles Chaplin;Charles Chaplin;Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman;A prospector goes to the Klondike in search of gold and finds it and more.;English;USA;8.2;NULL;Janus Films
The Big Parade;1925;NOT RATED;151;Drama, Romance, War;King Vidor, George W. Hill;Laurence Stallings (story), Harry Behn (scenario), Joseph Farnham (titles);John Gilbert, Renée Adorée, Hobart Bosworth, Claire McDowell;A young American soldier witnesses the horrors of the Great War.;NULL;USA;8.3;NULL;MGM
The General;1926;UNRATED;67;Action, Adventure, Comedy;Clyde Bruckman, Buster Keaton;Buster Keaton, Clyde Bruckman, Al Boasberg (adapted by), Charles Henry Smith (adapted by);Buster Keaton, Marion Mack, Glen Cavender, Jim Farley;When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.;English;USA;8.2;NULL;United Artists Films
Sunrise;1927;NOT RATED;94;Drama, Romance;F.W. Murnau;Carl Mayer (scenario), Hermann Sudermann (from an original theme by), Katherine Hilliker (titles), H.H. Caldwell (titles);George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing;An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.;NULL;USA;8.3;NULL;Fox Films
Metropolis;1927;NOT RATED;153;Drama, Sci-Fi;Fritz Lang;Thea von Harbou (screenplay), Thea von Harbou (novel);Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp;In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.;German;Germany;8.3;529603;Paramount Pictures
The Passion of Joan of Arc;1928;NOT RATED;114;Biography, Drama, History;Carl Theodor Dreyer;Joseph Delteil, Carl Theodor Dreyer;Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz;A chronicle of the trial of Jeanne d'Arc on charges of heresy, and the efforts of her ecclesiastical jurists to force Jeanne to recant her claims of holy visions.;French;France;8.3;NULL;Criterion Collection
The Broadway Melody;1929;PASSED;100;Drama, Musical, Romance;Harry Beaumont;Edmund Goulding (story), Sarah Y. Mason (continuity), Norman Houston (dialogue), James Gleason (dialogue);Charles King, Anita Page, Bessie Love;A pair of sisters from the vaudeville circuit try to make it big time on Broadway, but matters of the heart complicate the attempt.;English;USA;6.3;NULL;MGM Home Entertainment
Pandora's Box;1929;NOT RATED;109;Crime, Drama, Romance;Georg Wilhelm Pabst;Frank Wedekind (plays), Ladislaus Vajda (scenario);Louise Brooks, Fritz Kortner, Francis Lederer, Carl Goetz;The rise and inevitable fall of an amoral but naive young woman whose insouciant eroticism inspires lust and violence in those around her.;German;Germany;8.0;NULL;Moviegraphs Inc.
Hell's Angels;1930;PASSED;127;Drama, War;Howard Hughes, Edmund Goulding, James Whale;Marshall Neilan (story), Joseph Moncure March (story), Howard Estabrook (adaptation), Harry Behn (adaptation), Joseph Moncure March (dialogue written by);Ben Lyon, James Hall, Jean Harlow, John Darrow;"Brothers Monte and Ray leave Oxford to join the Royal Flying Corps. Ray loves Helen; Helen enjoys an affair with Monte; before they leave on their mission over Germany they find her in still another man's arms.";English, German, French;USA;7.8;NULL;Caddo
All Quiet on the Western Front;1930;UNRATED;136;Drama, War;Lewis Milestone;Erich Maria Remarque (by), Maxwell Anderson (adaptation), George Abbott (screen play), Del Andrews (adaptation), C. Gardner Sullivan (supervising story chief);Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy;A young soldier faces profound disillusionment in the soul-destroying horror of World War I.;English, French, German, Latin;USA;8.1;NULL;Universal Pictures
City Lights;1931;G;87;Comedy, Drama, Romance;Charles Chaplin;Charles Chaplin;Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia;With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.;English;USA;8.6;NULL;Twentieth Century Fox Home Entertainment
M;1931;NOT RATED;99;Crime, Drama, Mystery;Fritz Lang;Thea von Harbou (script), Fritz Lang (script);Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke;When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.;German;Germany;8.4;17599;Foremco
A Farewell to Arms;1932;UNRATED;80;Drama, Romance, War;Frank Borzage;Benjamin Glazer (screenplay), Oliver H.P. Garrett (screenplay), Ernest Hemingway (novel);Helen Hayes, Gary Cooper, Adolphe Menjou, Mary Philips;An American ambulance driver and an English nurse fall in love in Italy during World War I.;English;USA;6.6;NULL;Gravitas
She Done Him Wrong;1933;APPROVED;66;Comedy, Drama, History;Lowell Sherman;Mae West (by), Harvey F. Thew (screen play), John Bright (screen play);Mae West, Cary Grant, Owen Moore, Gilbert Roland;In the Gay Nineties, a seductive nightclub singer contends with several suitors, including a jealous escaped convict and a handsome temperance league member.;English;USA;6.5;NULL;MCA Universal Home Video
42nd Street;1933;UNRATED;89;Comedy, Musical, Romance;Lloyd Bacon;Rian James (screen play), James Seymour (screen play), Bradford Ropes (based on the novel by);Warner Baxter, Bebe Daniels, George Brent, Ruby Keeler;A director puts on what may be his last Broadway show and, at the last moment, a naive newcomer has to replace the star.;English;USA;7.6;NULL;MGM Home Entertainment
