Title;Year;Netflix;Hulu;Prime Video;Disney+;Runtime
Inception;2010;1;0;0;0;148
The Matrix;1999;1;0;0;0;136
Avengers: Infinity War;2018;1;0;0;0;149
Back to the Future;1985;1;0;0;0;116
The Good, the Bad and the Ugly;1966;1;0;1;0;161
Spider-Man: Into the Spider-Verse;2018;1;0;0;0;117
The Pianist;2002;1;0;1;0;150
Django Unchained;2012;1;0;0;0;165
Raiders of the Lost Ark;1981;1;0;0;0;115
Inglourious Basterds;2009;1;0;0;0;153
Taxi Driver;1976;1;0;0;0;114
3 Idiots;2009;1;0;1;0;170
Pan's Labyrinth;2006;1;0;0;0;118
Room;2015;1;0;0;0;118
Monty Python and the Holy Grail;1975;1;0;0;0;91
Once Upon a Time in the West;1968;1;0;1;0;165
Indiana Jones and the Last Crusade;1989;1;0;0;0;127
Groundhog Day;1993;1;0;0;0;101
The King's Speech;2010;1;0;0;0;118
Her;2013;1;0;0;0;126
There Will Be Blood;2007;1;0;0;0;158
The Social Network;2010;1;0;0;0;120
Dallas Buyers Club;2013;1;0;0;0;117
The Perks of Being a Wallflower;2012;1;0;0;0;103
Life of Brian;1979;1;0;0;0;94
Ex Machina;2015;1;0;0;0;108
Silver Linings Playbook;2012;1;0;0;0;122
District 9;2009;1;0;0;0;112
The Irishman;2019;1;0;0;0;209
Moon;2009;1;0;0;0;97
Marriage Story;2019;1;0;0;0;137
Drive;2011;1;0;1;0;100
Train to Busan;2016;1;0;1;0;118
Incredibles 2;2018;1;0;0;0;118
Dangal;2016;1;0;0;0;161
Klaus;2019;1;0;0;0;96
Minority Report;2002;1;0;0;0;145
Mystic River;2003;1;0;0;0;138
Like Stars on Earth;2007;1;0;0;0;165
Ferris Bueller's Day Off;1986;1;0;0;0;103
Despicable Me;2010;1;0;0;0;95
Hell or High Water;2016;1;0;0;0;102
Sin City;2005;1;0;0;0;124
Ip Man;2008;1;0;0;0;106
Indiana Jones and the Temple of Doom;1984;1;0;0;0;118
The Theory of Everything;2014;1;0;0;0;123
The Pursuit of Happyness;2006;1;0;0;0;117
Senna;2010;1;0;0;0;106
Scott Pilgrim vs. the World;2010;1;0;0;0;112
Magnolia;1999;1;0;0;0;188
The Hateful Eight;2015;1;0;0;0;168
The Artist;2011;1;0;0;0;100
Moonlight;2016;1;0;0;0;111
Back to the Future Part II;1989;1;0;0;0;108
Willy Wonka & the Chocolate Factory;1971;1;0;0;0;100
What's Eating Gilbert Grape;1993;1;0;1;0;118
The Curious Case of Benjamin Button;2008;1;0;0;0;166
A Silent Voice;2016;1;0;0;0;130
Snowpiercer;2013;1;0;0;0;60
Hugo;2011;1;0;0;0;126
Ant-Man and the Wasp;2018;1;0;0;0;118
As Good as It Gets;1997;1;0;0;0;139
Back to the Future Part III;1990;1;0;0;0;118
Searching for Sugar Man;2012;1;0;0;0;86
Road to Perdition;2002;1;0;0;0;117
To All the Boys I've Loved Before;2020;1;0;0;0;99
Molly's Game;2017;1;0;0;0;140
Blackfish;2013;1;1;0;0;83
El Camino: A Breaking Bad Movie;2019;1;0;0;0;122
The Invisible Guest;2016;1;0;0;0;106
Song of the Sea;2014;1;0;0;0;93
End of Watch;2012;1;0;0;0;109
The Evil Dead;1981;1;0;0;0;85
About Time;2013;1;0;0;0;123
Kung Fu Hustle;2004;1;0;0;0;99
Blue Is the Warmest Color;2013;1;0;0;0;180
Y Tu Mamá También;2001;1;0;0;0;106
The Naked Gun: From the Files of Police Squad!;1988;1;0;0;0;85
Mud;2013;1;0;0;0;130
The Edge of Seventeen;2016;1;0;0;0;104
Philadelphia;1993;1;0;0;0;22
Lagaan: Once Upon a Time in India;2001;1;0;0;0;224
Tucker and Dale vs. Evil;2010;1;0;0;0;89
The Matrix Reloaded;2003;1;0;0;0;138
The Two Popes;2019;1;0;0;0;125
The Last Samurai;2003;1;0;0;0;154
The Florida Project;2017;1;0;0;0;111
13th;2016;1;0;0;0;100
Bahubali: The Beginning;2015;1;0;0;0;159
The Dawn Wall;2018;1;0;0;0;100
Dolemite Is My Name;2019;1;0;0;0;118
Tarzan;1999;1;0;0;0;110
The Platform;2019;1;0;0;0;94
Okja;2017;1;0;0;0;120
Roma;2018;1;0;0;0;52
Saving Mr. Banks;2013;1;0;0;1;125
Icarus;2017;1;0;0;0;120
Jiro Dreams of Sushi;2011;1;1;0;0;81
Corpse Bride;2005;1;0;0;0;77
Jerry Maguire;1996;1;0;0;0;139
The Death of Stalin;2017;1;0;0;0;107
GoldenEye;1995;1;0;0;0;130
The Boy in the Striped Pyjamas;2008;1;0;0;0;94
Amy;2015;1;0;1;1;60
Ralph Breaks the Internet;2018;1;0;0;0;112
Good Time;2017;1;0;0;0;102
Ip Man 2;2010;1;0;0;0;108
The Little Prince;2015;1;0;0;0;108
The Spectacular Now;2013;1;0;0;0;95
Baahubali 2: The Conclusion;2017;1;0;0;0;167
Black Mirror: Bandersnatch;2018;1;0;0;0;90
PK;2014;1;0;0;0;153
Extraction;2020;1;0;0;0;116
The Lobster;2015;1;0;0;0;119
Blue Valentine;2010;1;0;0;0;112
Zindagi Na Milegi Dobara;2011;1;0;0;0;155
Green Room;2015;1;0;0;0;95
Kung Fu Panda 2;2011;1;0;0;0;90
The Ballad of Buster Scruggs;2018;1;0;0;0;133
Cloverfield;2008;1;0;0;0;85
Burning;2018;1;0;0;0;148
The Adventures of Tintin;2011;1;0;0;0;107
Bolt;2008;1;0;0;1;96
Neon Genesis Evangelion: The End of Evangelion;1997;1;0;0;0;87
Chasing Amy;1997;1;0;0;0;113
The Princess and the Frog;2009;1;0;0;1;97
Bad Genius;2017;1;0;0;0;130
The Wicker Man;1973;1;0;0;0;88
A Single Man;2009;1;0;0;0;99
Blow;2001;1;0;0;0;124
The Squid and the Whale;2005;1;0;1;0;81
